Año,Mes,Día,Hora,Día de la semana,Temperatura (°C),Punto de rocío (°C),Humedad (%),Dirección del viento,Velocidad del viento (m/s),Ráfaga de viento (m/s),Presión (hPa),Precipitación (mm),Condición meteorológica
2014,1,5,22,6,11.11111111111111,-5.555555555555555,31.0,E,2.2352,0.0,980.359905,0.0,Despejado
2014,1,5,23,6,10.555555555555555,-6.111111111111111,31.0,E,3.12928,0.0,981.037183,0.0,Despejado
2014,1,6,0,0,9.444444444444445,-5.555555555555555,35.0,SE,1.34112,0.0,981.037183,0.0,Despejado
2014,1,6,1,0,8.333333333333334,-6.111111111111111,36.0,CALMA,0.0,0.0,981.037183,0.0,Despejado
2014,1,6,2,0,7.222222222222222,-4.444444444444445,44.0,CALMA,0.0,0.0,981.3758220000001,0.0,Despejado
2014,1,6,3,0,6.111111111111111,-4.444444444444445,47.0,CALMA,0.0,0.0,981.714461,0.0,Despejado
2014,1,6,4,0,6.666666666666667,-5.0,43.0,ESE,1.34112,0.0,982.0531000000001,0.0,Despejado
2014,1,6,5,0,6.666666666666667,-8.333333333333334,34.0,ENE,2.2352,0.0,982.0531000000001,0.0,Despejado
2014,1,6,6,0,6.666666666666667,-7.777777777777778,35.0,NNO,1.34112,0.0,982.391739,0.0,Despejado
2014,1,6,7,0,5.0,-5.555555555555555,47.0,CALMA,0.0,0.0,983.407656,0.0,Despejado
2014,1,6,8,0,6.111111111111111,-7.777777777777778,37.0,CALMA,0.0,0.0,983.746295,0.0,Despejado
2014,1,6,9,0,7.777777777777778,-6.111111111111111,37.0,O,1.34112,0.0,984.423573,0.0,Despejado
2014,1,6,10,0,11.666666666666666,-10.0,21.0,CALMA,0.0,0.0,984.423573,0.0,Despejado
2014,1,6,11,0,15.555555555555555,-18.333333333333332,9.0,NE,5.36448,0.0,984.423573,0.0,Despejado
2014,1,6,12,0,16.666666666666668,-20.0,7.0,ENE,3.12928,0.0,983.069017,0.0,Despejado
2014,1,6,13,0,17.77777777777778,-18.88888888888889,7.0,NE,2.2352,0.0,981.714461,0.0,Despejado
2014,1,6,14,0,18.333333333333332,-17.77777777777778,7.0,N,2.68224,0.0,980.6985440000001,0.0,Despejado
2014,1,6,15,0,19.444444444444443,-16.666666666666668,8.0,N,2.68224,0.0,980.0212660000001,0.0,Despejado
2014,1,6,16,0,19.444444444444443,-16.11111111111111,8.0,NNO,2.68224,0.0,979.682627,0.0,Despejado
2014,1,6,17,0,19.444444444444443,-15.555555555555555,8.0,O,3.12928,0.0,979.3439880000001,0.0,Despejado
2014,1,6,18,0,17.77777777777778,-14.444444444444445,10.0,O,3.57632,0.0,979.3439880000001,0.0,Despejado
2014,1,6,19,0,16.666666666666668,-14.444444444444445,11.0,O,2.68224,0.0,979.682627,0.0,Despejado
2014,1,6,20,0,14.444444444444445,-12.222222222222221,15.0,OSO,1.34112,0.0,980.0212660000001,0.0,Despejado
2014,1,6,21,0,13.88888888888889,-12.222222222222221,15.0,O,2.68224,0.0,980.0212660000001,0.0,Despejado
2014,1,6,22,0,12.222222222222221,-10.555555555555555,20.0,CALMA,0.0,0.0,980.359905,0.0,Despejado
2014,1,6,23,0,11.11111111111111,-8.88888888888889,24.0,ENE,1.34112,0.0,980.0212660000001,0.0,Despejado
2014,1,7,0,1,10.0,-6.666666666666667,31.0,E,2.68224,0.0,979.005349,0.0,Despejado
2014,1,7,1,1,9.444444444444445,-6.111111111111111,33.0,ENE,1.34112,0.0,979.3439880000001,0.0,Despejado
2014,1,7,2,1,8.88888888888889,-7.222222222222222,32.0,ESE,1.34112,0.0,978.66671,0.0,Despejado
2014,1,7,3,1,8.88888888888889,-7.222222222222222,32.0,CALMA,0.0,0.0,979.005349,0.0,Despejado
2014,1,7,4,1,7.777777777777778,-6.111111111111111,37.0,CALMA,0.0,0.0,978.66671,0.0,Despejado
2014,1,7,5,1,7.222222222222222,-5.555555555555555,40.0,CALMA,0.0,0.0,979.005349,0.0,Despejado
2014,1,7,6,1,6.666666666666667,-4.444444444444445,45.0,CALMA,0.0,0.0,979.005349,0.0,Despejado
2014,1,7,7,1,7.222222222222222,-5.555555555555555,40.0,CALMA,0.0,0.0,979.005349,0.0,Mayormente_nublado
2014,1,7,8,1,7.222222222222222,-5.0,42.0,E,1.34112,0.0,978.66671,0.0,Mayormente_nublado
