Año,Mes,Día,Hora,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Emisión (kg CO₂)
2014,1,9,12,3,24266.79,7815.94,11170.87125,896.79726,36334.94258,22660.0
2014,1,9,13,3,24017.69,10073.89,12748.140239999999,826.46022,37592.21717,23450.0
2014,1,9,14,3,23738.31,9619.56,14081.29426,794.2224100000001,38612.104250000004,24080.0
2014,1,9,15,3,23622.12,7780.51,15092.466929999999,797.1531200000002,39511.832220000004,24640.0
2014,1,9,16,3,23325.84,3998.63,15367.39082,767.8460200000001,39459.07944,24610.0
2014,1,9,17,3,22535.62,357.71,14483.744569999999,800.08383,37817.88184,23590.0
2014,1,9,18,3,21838.0,4.14,11929.06611,800.08383,34564.79374,21560.0
2014,1,9,19,3,21234.31,1.95,10374.72796,747.33105,32355.038400000005,20180.0
2014,1,9,20,3,20912.88,2.1,9875.10294,773.7074400000001,31560.815990000003,19680.0
2014,1,9,21,3,21241.76,2.03,8730.6008,811.80667,30784.177840000004,19200.0
2014,1,9,22,3,21622.86,2.02,8762.04278,873.3515800000001,31258.95286,19500.0
2014,1,9,23,3,21828.43,2.07,8491.19861,920.2429400000001,31238.437890000005,19480.0
2014,1,10,0,4,22684.98,2.25,7678.27923,858.6980300000001,31220.85363,19470.0
2014,1,10,1,4,22925.42,2.31,7826.169079999999,805.9452500000001,31554.95457,19680.0
2014,1,10,2,4,22833.41,7.61,7126.426759999999,858.6980300000001,30816.415650000003,19220.0
2014,1,10,3,4,23213.54,11.28,7605.23114,926.1043600000002,31745.45072,19800.0
2014,1,10,4,4,23644.14,8.44,6959.86164,949.5500400000002,31552.02386,19680.0
2014,1,10,5,4,23984.73,5.07,7368.537039999999,1104.87767,32457.613250000002,20240.0
2014,1,10,6,4,20574.19,3.89,4825.0074700000005,1099.0162500000001,26496.54911,16530.0
2014,1,10,7,4,21072.92,8.17,4213.40117,656.4790400000002,25942.644920000002,16180.0
2014,1,10,8,4,21282.37,771.61,6765.79358,1893.2386600000002,29943.064070000004,18680.0
2014,1,10,9,4,21998.6,4656.94,7640.26046,1251.41317,30889.683400000005,19270.0
2014,1,10,10,4,22814.48,7797.6,8403.8715,1016.9563700000001,32234.87929,20110.0
2014,1,10,11,4,22960.87,8631.45,9917.37728,943.6886200000001,33823.32411,21100.0
2014,1,10,12,4,22760.2,9295.62,12940.73116,876.2822900000001,36575.260800000004,22810.0
2014,1,10,13,4,22980.59,9962.21,14080.45018,817.6680900000001,37879.426750000006,23620.0
2014,1,10,14,4,22803.55,9406.26,15004.823289999998,814.73738,38623.82709,24090.0
2014,1,10,15,4,22459.92,7764.47,15255.093009999999,838.1830600000001,38553.49005000001,24040.0
2014,1,10,16,4,22082.34,4070.95,15770.82589,849.9059000000001,38700.025550000006,24140.0
2014,1,10,17,4,21240.77,343.38,15321.35329,835.2523500000001,37398.790310000004,23320.0
2014,1,10,18,4,20576.28,19.4,13516.21787,817.6680900000001,34910.61752000001,21770.0
2014,1,10,19,4,19990.65,0.87,11838.890229999999,738.5389200000001,32566.049520000004,20310.0
2014,1,10,20,4,19671.24,0.88,10581.42205,761.9846000000001,31012.77322,19340.0
2014,1,10,21,4,19261.38,0.93,9302.78153,846.9751900000001,29409.67485,18340.0
2014,1,10,22,4,18653.89,0.98,8137.84562,832.32164,27624.872460000002,17230.0
2014,1,10,23,4,17886.07,1.05,7837.986199999999,844.04448,26566.886150000006,16570.0
2014,1,11,0,5,18724.0,1.14,8380.90549,832.32164,27938.458430000002,17420.0
2014,1,11,1,5,18702.46,2.29,8865.442579999999,753.1924700000001,28319.45073,17660.0
2014,1,11,2,5,18541.18,8.01,8627.27134,800.08383,27967.765530000004,17440.0
2014,1,11,3,5,18401.28,9.43,8273.91835,864.5594500000001,27536.95116,17180.0
2014,1,11,4,5,18111.69,5.48,8151.03437,923.1736500000001,27185.265960000004,16960.0
2014,1,11,5,5,17857.9,3.75,7251.807809999999,934.8964900000001,26045.219770000003,16239.999999999998
2014,1,11,6,5,18647.66,3.29,7340.64723,1043.33276,27029.938330000004,16860.0
2014,1,11,7,5,19328.68,8.97,7344.58627,1104.87767,27777.26938,17330.0
2014,1,11,8,5,19174.75,919.98,7777.388289999999,1213.31394,28167.05381,17570.0
2014,1,11,9,5,19240.71,5011.97,8144.84445,1157.63045,28542.184690000002,17800.0
2014,1,11,10,5,19341.81,7763.4,9371.32786,885.07442,29597.24029,18460.0
2014,1,11,11,5,19619.83,9213.88,11979.746079999999,773.7074400000001,32372.62266,20190.0
2014,1,11,12,5,19708.47,10341.68,13569.078379999999,732.6775,34010.88955,21210.0
2014,1,11,13,5,19448.6,9611.03,14773.791560000001,744.40034,34966.30101,21810.0
2014,1,11,14,5,19372.62,8736.65,15617.977069999999,703.3704,35693.11709000001,22260.0
2014,1,11,15,5,19170.15,7437.72,16175.7381,682.8554300000001,36027.21803,22470.0
2014,1,11,16,5,19035.41,3931.59,16433.569369999997,691.64756,36162.03069000001,22550.0
2014,1,11,17,5,18849.77,514.15,15731.85753,662.34046,35241.78775,21980.0
2014,1,11,18,5,19285.42,5.81,14246.13605,679.92472,34210.17783000001,21340.0
2014,1,11,19,5,19131.88,0.88,12951.10631,720.9546600000001,32803.43703000001,20460.0
